銘柄コード,上場区分,銘柄,株価,社名,英文社名,業種,代表者,決算,資本金,住所,電話番号(IR),上場市場,上場年月日,単元株数
1301,東証プライム,極洋,4240.0,極洋,"KYOKUYO CO., LTD.",水産・農林業,井上　誠,3月,"7,527,000千円",東京都港区赤坂三丁目３番５号,03-5545-0703,東証プライム,1949年5月16日,100株
1331,東証1部,ニチロ,---,ニチロ,NICHIRO CORPORATION,水産・農林業,---,---,---,---,---,東証1部,1949年5月16日,1000株
1332,東証プライム,ニッスイ,827.6,ニッスイ,Nissui Corporation,水産・農林業,浜田　晋吾,3月,"30,685,000千円",東京都港区西新橋一丁目３番１号,03-6206-7037,東証プライム,1949年5月16日,100株
1333,東証プライム,マルハニチロ,2906.0,マルハニチロ,Maruha Nichiro Corporation,水産・農林業,池見　賢,3月,"20,000,000千円",東京都江東区豊洲三丁目２番２０号,03-6833-0696,東証プライム,2014年4月1日,100株
1334,東証1部,マルハニチロホールディングス,---,マルハニチロホールディングス,MaruhaNichiroHoldingsInc.,水産・農林業,社長　久代　敏男,---,---,東京都江東区豊洲３−２−２０,03-6833-4134,東証1部,2004年4月1日,1000株
1352,東証スタンダード,ホウスイ,---,ホウスイ,HOHSUI  CORPORATION,卸売業,中島　廣,3月,"2,485,000千円",東京都江東区豊洲六丁目６番３号,03-6633-3323,東証スタンダード,1949年5月16日,100株
1375,東証プライム,雪国まいたけ,1153.0,雪国まいたけ,"YUKIGUNI MAITAKE CO.,LTD.",水産・農林業,湯澤　尚史,3月,"100,000千円",新潟県南魚沼市余川８９番地,025-778-0162,東証プライム,2020年9月17日,100株
1376,東証スタンダード,カネコ種苗,1384.0,カネコ種苗,"KANEKO SEEDS CO., LTD.",水産・農林業,金子　昌彦,5月,"1,491,267千円",群馬県前橋市古市町一丁目５０番地１２,027-251-1619,東証スタンダード,1981年11月11日,100株
1377,東証プライム,サカタのタネ,3620.0,サカタのタネ,SAKATA SEED CORPORATION,水産・農林業,坂田　宏,5月,"13,500,000千円",神奈川県横浜市都筑区仲町台２－７－１,045-945-8800,東証プライム,1987年5月11日,100株
1378,東証2部,雪国まいたけ,---,雪国まいたけ,"YUKIGUNIMAITAKECO.,LTD.",水産・農林業,会長・社長　鈴木　克郎,---,---,新潟県南魚沼市余川８９,025-778-0111,東証2部,1994年3月11日,100株
1379,東証プライム,ホクト,1809.0,ホクト,HOKUTO CORPORATION,水産・農林業,水野　雅義,3月,"5,500,000千円",長野県長野市南堀１３８番地１,026-259-5955,東証プライム,1994年11月22日,100株
1380,東証スタンダード,秋川牧園,998.0,秋川牧園,"AKIKAWA FOODS & FARMS CO., LTD.",水産・農林業,秋川　正,3月,"714,150千円",山口県山口市仁保下郷１０３１７番地,083-929-0630,東証スタンダード,1997年11月19日,100株
1381,東証スタンダード,アクシーズ,2690.0,アクシーズ,"AXYZ Co., Ltd",水産・農林業,伊地知　高正,6月,"452,000千円",鹿児島県鹿児島市草牟田二丁目１番８号,099-223-7385,東証スタンダード,2000年12月12日,100株
1382,東証スタンダード,ホーブ,1820.0,ホーブ,"HOB Co.,Ltd.",水産・農林業,政場　秀,6月,"421,250千円",北海道上川郡東神楽町１４号北１番地,0166-83-3555,東証スタンダード,2005年8月1日,100株
1383,東証スタンダード,ベルグアース,3255.0,ベルグアース,"Berg Earth co.,Ltd.",水産・農林業,山口　一彦,10月,"724,476千円",愛媛県宇和島市津島町北灘甲８８番地１,0895-20-8231,東証スタンダード,2011年11月29日,100株
1384,東証スタンダード,ホクリヨウ,1340.0,ホクリヨウ,"Hokuryo Co., Ltd.",水産・農林業,米山　大介,3月,"1,055,000千円",北海道札幌市白石区中央二条三丁目６番１５号,011-812-1131,東証スタンダード,2015年2月20日,100株
1400,東証グロース,ルーデン・ホールディングス,---,ルーデン・ホールディングス,"RUDEN HOLDINGS Co.,Ltd.",建設業,百田　哲史,12月,"2,262,878千円",東京都渋谷区桜丘町２０番１号　渋谷インフォスタワー２Ｆ,03-6427-8088,東証グロース,2005年4月6日,100株
1401,東証グロース,エムビーエス,735.0,エムビーエス,"mbs,inc.",建設業,山本　貴士,5月,"391,329千円",山口県宇部市西岐波１１７３番地１６２,0836-54-1414,東証グロース,2005年4月26日,100株
1405,東証2部,サーラ住宅,---,サーラ住宅,"SALAHOUSECO.,LTD.",建設業,社長　山口　信仁,---,---,愛知県豊橋市白河町１００,0532-32-7272,東証2部,2005年12月5日,100株
1407,東証スタンダード,ウエストホールディングス,1457.0,ウエストホールディングス,West Holdings corporation,建設業,江頭　栄一郎,8月,"2,020,000千円",広島県広島市西区楠木町一丁目１５番２４号,03-6812-2501,東証スタンダード,2006年3月1日,100株
1408,東証JASDAQ（グロース）,サムシングホールディングス,---,サムシングホールディングス,"Something Holdings Co.,Ltd.",建設業,社長　前　俊守,---,---,東京都江東区木場１−５−２５,03-5665-0840,東証JASDAQ（グロース）,2006年6月29日,100株
1412,東証1部,チャイナ・ボーチー・エンバイロメンタル・ソリューションズ・テクノロジー（ホールディング）カンパニー・リミテッド,---,チャイナ・ボーチー・エンバイロメンタル・ソリューションズ・テクノロジー（ホールディング）カンパニー・リミテッド,"CHINABOQIENVIRONMENTALSOLUTIONSTECHNOLOGYCO.,LTD.",建設業,総裁兼CEO　チャン・リーチェン,---,---,東京都千代田区丸の内二丁目6番1号　丸の内パークビルディング　森・濱田松本法律事務所,0362668563,東証1部,2007年8月8日,1株
1413,東証プライム,ヒノキヤグループ,---,ヒノキヤグループ,"Hinokiya Group Co.,Ltd.",建設業,近藤　昭,12月,"389,900千円",東京都千代田区丸の内一丁目８番３号　丸の内トラストタワー本館７階,03-5224-5121,東証プライム,2007年11月15日,100株
1414,東証プライム,ショーボンドホールディングス,4916.0,ショーボンドホールディングス,"SHO-BOND Holdings Co.,  Ltd.",建設業,岸本　達也,6月,"5,000,000千円",東京都中央区日本橋箱崎町７番８号,03-6892-7101,東証プライム,2008年1月4日,100株
1416,大証,日本インテグランドホールディングス,---,日本インテグランドホールディングス,"NIHON INTEGROUND HOLDINGS,INC.",建設業,---,---,---,---,---,大証,2008年7月1日,1000株
1417,東証プライム,ミライト・ワン,2260.5,ミライト・ワン,MIRAIT ONE Corporation,建設業,中山　俊樹,3月,"7,000,000千円",東京都江東区豊洲五丁目６番３６号,03-6807-3124,東証プライム,2010年10月1日,100株
1418,東証スタンダード,インターライフホールディングス,321.0,インターライフホールディングス,"INTERLIFE HOLDINGS CO.,LTD.",建設業,貴田　晃司,2月,"2,979,460千円",東京都中央区銀座六丁目１３番１６号,03-3547-3227,東証スタンダード,2010年10月5日,100株
1419,東証プライム,タマホーム,3250.0,タマホーム,"Tama Home Co., Ltd.",建設業,玉木　伸弥,5月,"4,310,000千円",東京都港区高輪３丁目２２番９号,03-6408-1200,東証プライム,2013年3月27日,100株
1420,東証スタンダード,サンヨーホームズ,722.0,サンヨーホームズ,Sanyo Homes Corporation,建設業,松岡　久志,3月,"5,945,162千円",大阪府大阪市西区西本町一丁目４番１号,06-6578-3403,東証スタンダード,2013年4月9日,100株
1429,東証プライム,日本アクア,771.0,日本アクア,"Nippon Aqua Co., Ltd.",建設業,中村　文隆,12月,"1,903,649千円",東京都港区港南二丁目１６番２号,03-5463-1117,東証プライム,2013年12月13日,100株
1430,東証スタンダード,ファーストコーポレーション,849.0,ファーストコーポレーション,First-corporation Inc.,建設業,中村　利秋,5月,"730,429千円",東京都杉並区荻窪四丁目３０番１６号,03-5347-9103,東証スタンダード,2015年3月24日,100株
1431,東証グロース,Ｌｉｂ　Ｗｏｒｋ,673.0,Ｌｉｂ　Ｗｏｒｋ,"Lib Work Co.,Ltd.",建設業,瀬口　力,6月,"1,321,507千円",熊本県山鹿市鍋田１７８番地１,0968-44-3227,東証グロース,2015年8月5日,100株
1433,東証プライム,ベステラ,966.0,ベステラ,"BESTERRA CO., LTD.",建設業,本田　豊,1月,"843,176千円",東京都江東区平野三丁目２番６号　木場パークビル,03-3630-5555,東証プライム,2015年9月2日,100株
1434,東証スタンダード,ＪＥＳＣＯホールディングス,863.0,ＪＥＳＣＯホールディングス,"JESCO Holdings, Inc.",建設業,唐澤　光子,8月,"1,045,862千円",東京都新宿区中落合三丁目２５番１４号　ＪＥＳＣＯ中落合ビル,03-5315-0331,東証スタンダード,2015年9月8日,100株
1435,東証スタンダード,ｒｏｂｏｔ　ｈｏｍｅ,138.0,ｒｏｂｏｔ　ｈｏｍｅ,robot home Inc.,不動産業,古木　大咲,12月,"10,000千円",東京都中央区銀座６丁目１０－１,03-6447-0651,東証スタンダード,2015年12月3日,100株
1436,東証グロース,グリーンエナジー＆カンパニー,2404.0,グリーンエナジー＆カンパニー,GreenEnergy & Company Inc.,建設業,鈴江　崇文,4月,"20,000千円",徳島県板野郡松茂町中喜来字群恵３９番地１,050-1871-0650,東証グロース,2016年3月11日,100株
1438,東証スタンダード,岐阜造園,1900.0,岐阜造園,"Gifu landscape architect Co.,Ltd.",建設業,山田　準,9月,"412,032千円",岐阜県岐阜市茜部菱野四丁目７９番地の１,058-272-4120,東証スタンダード,2016年11月1日,100株
1439,東証スタンダード,安江工務店,2141.0,安江工務店,YASUE CORPORATION,建設業,山本　賢治,12月,"263,350千円",愛知県名古屋市中区栄二丁目２番２３号,052-223-1100,東証スタンダード,2017年2月10日,100株
1443,東証スタンダード,技研ホールディングス,185.0,技研ホールディングス,"Giken Holdings Co.,Ltd.",建設業,佐々木　ベジ,3月,"1,120,000千円",東京都千代田区神田東松下町１７番地,03-6635-1839,東証スタンダード,2018年1月9日,100株
1444,東証グロース,ニッソウ,2625.0,ニッソウ,"Nissou Co.,Ltd.",建設業,前田　浩,7月,"349,789千円",東京都世田谷区経堂１－８－１７,03-3439-1671,東証グロース,2020年3月30日,100株
1446,東証スタンダード,キャンディル,572.0,キャンディル,"CANDEAL CO.,Ltd",建設業,林　晃生,9月,"561,787千円",東京都新宿区北山伏町１番１１号,03-6862-1701,東証スタンダード,2018年7月5日,100株
1447,東証グロース,ＳＡＡＦホールディングス,344.0,ＳＡＡＦホールディングス,"SAAF Holdings Co.,Ltd.",建設業,前　俊守,3月,"1,909,570千円",東京都江東区豊洲三丁目２番２４号　豊洲フォレシア９Ｆ,03-6770-9970,東証グロース,2018年10月1日,100株
1448,東証1部,スペースバリューホールディングス,---,スペースバリューホールディングス,"SPACE VALUE HOLDINGS CO.,LTD.",建設業,森岡　直樹,3月,"7,000,000千円",石川県金沢市金石北三丁目１６番１０号,03-5439-6070,東証1部,2018年10月1日,100株
1449,札証,ＦＵＪＩジャパン,---,ＦＵＪＩジャパン,FUJI JAPAN CO. LTD.,建設業,佐々木　忠幸,12月,"65,424千円",北海道札幌市中央区大通東四丁目４番地１８,011-299-5361,札証,2018年12月13日,100株
1450,東証スタンダード,田中建設工業,1270.0,田中建設工業,TANAKEN,建設業,中尾　安志,3月,"297,156千円",東京都港区東新橋一丁目９番１号　東京汐留ビルディング９階,03-6264-5520,東証スタンダード,2018年12月18日,100株
1451,東証スタンダード,ＫＨＣ,---,ＫＨＣ,KHC Ltd.,建設業,渡辺　喜夫,3月,"484,054千円",兵庫県明石市花園町２番地の２,078-929-8315,東証スタンダード,2019年3月19日,100株
1491,東証スタンダード,中外鉱業,37.0,中外鉱業,"Chugai Mining Co.,Ltd.",非鉄金属,西元　丈夫,3月,"100,000千円",東京都千代田区丸の内２丁目４番１号,03-3201-1541,東証スタンダード,1949年5月16日,100株
1503,東証1部,住友石炭鉱業,---,住友石炭鉱業,"SUMITOMO COAL MINING CO.,LTD.",鉱業,---,---,---,---,---,東証1部,---,500株
1514,東証スタンダード,住石ホールディングス,831.0,住石ホールディングス,"Sumiseki Holdings, Inc.",鉱業,森　省輔,3月,"2,501,000千円",東京都港区新橋６－１６－１２,03-5511-1400,東証スタンダード,2008年10月1日,100株
1515,東証プライム,日鉄鉱業,4820.0,日鉄鉱業,"Nittetsu Mining CO.,Ltd.",鉱業,森川　玲一,3月,"4,176,000千円",東京都千代田区丸の内二丁目３番２号,03-3216-5255,東証プライム,1954年3月3日,100株
1518,東証プライム,三井松島ホールディングス,4215.0,三井松島ホールディングス,"MITSUI MATSUSHIMA HOLDINGS CO., LTD.",その他製品,吉岡　泰士,3月,"8,571,000千円",福岡県福岡市中央区大手門一丁目１番１２号,092-771-2171,東証プライム,1961年10月2日,100株
1605,東証プライム,ＩＮＰＥＸ,1844.0,ＩＮＰＥＸ,INPEX CORPORATION,鉱業,上田　隆之,12月,"290,809,000千円",東京都港区赤坂五丁目３番１号,03-5572-0750,東証プライム,2006年4月3日,100株
1606,東証1部,日本海洋掘削,---,日本海洋掘削,"Japan Drilling Co., Ltd.",鉱業,社長　市川　祐一郎,---,---,東京都中央区日本橋堀留町２−４−３,03-5847-5850,東証1部,2009年12月17日,100株
1661,東証1部,関東天然瓦斯開発,---,関東天然瓦斯開発,"KantoNaturalGasDevelopmentCO.,LTD.",鉱業,社長　吉井　正徳,---,---,東京都中央区日本橋室町２−１−１,03-3241-5511,東証1部,1963年10月1日,1000株
1662,東証プライム,石油資源開発,1085.0,石油資源開発,"Japan Petroleum Exploration Co., Ltd.",鉱業,山下　通郎,3月,"14,288,000千円",東京都千代田区丸の内一丁目７番１２号,03-6268-7111,東証プライム,2003年12月10日,100株
1663,東証プライム,Ｋ＆Ｏエナジーグループ,3175.0,Ｋ＆Ｏエナジーグループ,K&O Energy Group Inc.,鉱業,緑川　昭夫,12月,"8,000,000千円",千葉県茂原市茂原６６１番地,0475-27-1011,東証プライム,2014年1月6日,100株
1701,東証2部,昭和ＫＤＥ,---,昭和ＫＤＥ,"SHOWA KDE CO.,LTD.",電気機器,---,---,---,---,---,東証2部,---,1000株
1702,名証2部,共立マテリアル,---,共立マテリアル,KCMCorporation,鉱業,取締役社長　堀口隆,---,---,愛知県名古屋市港区築三町二丁目41番地,0526613180,名証2部,1949年5月14日,1000株
1710,大証,ジェイオーグループホールディングス,---,ジェイオーグループホールディングス,JO GROUP HOLDINGS CO LTD.,建設業,---,---,---,---,---,大証,---,100株
1711,東証スタンダード,ＳＤＳホールディングス,329.0,ＳＤＳホールディングス,"SDS HOLDINGS Co.,Ltd.",建設業,渡辺　悠介,3月,"2,119,292千円",東京都港区西新橋二丁目８番６号,03-6821-0004,東証スタンダード,2004年12月16日,100株
1712,東証スタンダード,ダイセキ環境ソリューション,1215.0,ダイセキ環境ソリューション,"Daiseki Eco. Solution Co.,Ltd.",建設業,山本　浩也,2月,"2,287,000千円",愛知県名古屋市瑞穂区明前町８番１８号,052-819-5310,東証スタンダード,2004年12月8日,100株
1716,東証スタンダード,第一カッター興業,1380.0,第一カッター興業,DAI-ICHI CUTTER KOGYO K.K.,建設業,安達　昌史,6月,"470,300千円",神奈川県茅ヶ崎市萩園８３３番地,0467-85-3939,東証スタンダード,2004年6月10日,100株
