特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
水産品の貿易、加工、買い付け主力。すしネタに強み。加工食品は業務用が軸。海外加工比率高い,水産49(3)、生鮮25(3)、食品25(3)、物流サービス1(10)、他0(8)(2024.3),711,2089,41.3,8460000
水産大手で加工・商事のほか日本・南米で養殖。国内外で食品事業展開。ＥＰＡなどファインも,水産41(3)、食品53(6)、ファイン2(-1)、物流2(6)、他2(4)【海外】41(2024.3),1504,10104,43.1,7660000
水産最大手。国内外に強固な流通網持つ。冷食・缶詰など加工食品も大手。畜産商事や化成品も,水産資源57(2)、加工10(5)、食材流通31(2)、物流2(9)、他0(61)【海外】23(2024.3),1651,12531,41.8,7490000
水産最大手、国内に強固な流通網。三国間取引推進。国内外でのマグロ、エビ養殖が新機軸,水産60(1)、食品37(3)、保管物流2(7)、他1(17)【海外】11(2013.3),113,12490,43.8,7610000
鮮魚、冷凍魚等の卸売り、冷蔵倉庫が主体の水産物の総合流通企業。親会社の中央魚類がＴＯＢ,冷蔵倉庫9(9)、水産食品91(1)(2021.3),239,---,36.7,6010000
マイタケ軸にキノコ量産、蘭のマッシュルーム専業買収、素材生かす加工品育成、神明ＨＤ傘下,まいたけ55、エリンギ11、ぶなしめじ20、茸他13、他1(2024.3),1024,1054,41.5,4040000
野菜・牧草種子など種苗事業や農薬が収益柱。農業資材や花きも販売。利益は下期の比重高い,種苗15(8)、花き14(1)、農材49(5)、施設材22(2)(2024.5),627,691,41.3,6090000
野菜と花きの種苗で世界上位、米州やインド等成長市場に投資、国内は農業資材や造園緑化強化,国内卸売14(38)、海外卸売77(26)、小売6(-4)、他4(1)【海外】77(2024.5),696,2948,39.0,6870000
キノコ製造大手。不適切会計後、混乱続いたが、米ファンドがＴＯＢ。６月１６日上場廃止予定,茸78(13)、もやし・カット野菜14(1)、他8(0)(2015.3),812,1106,40.9,3280000
ブナシメジ、エリンギなどキノコで食品スーパー等に全国展開。米国、台湾など海外は拡大へ,国内きのこ65(8)、海外きのこ10(11)、加工品9(4)、化成品15(2)【海外】10(2024.3),1044,1349,39.6,5320000
無農薬・無投薬の食肉、鶏卵、牛乳等を製造販売。主力の生協経由に加えて直販宅配を強化,生産卸売78(6)、直販22(4)(2024.3),250,320,42.1,4960000
鶏肉国内大手。ケンタッキー（ＫＦＣ）と食肉卸向け柱。飼料製造から加工まで一貫。外食ＦＣも,食品84(4)、外食14(9)、エネルギー2(69)(2024.6),874,1320,43.7,4900000
夏秋は自社品種、冬は仕入れたイチゴ果実を大手洋菓子メーカー等に販売。種馬鈴薯も手がける,いちご果実・青果89(7)、種苗2(50)、馬鈴薯3(1)、運送6(6)(2024.6),23,42,42.8,4390000
接ぎ木したトマト、キュウリ、ナス等の苗を開発、生産販売。花き進出。閉鎖型施設や中韓開拓も,野菜苗・苗関連85(9)、農業・園芸用タネ資材販売13(3)、小売2(-5)(2023.10),225,290,39.2,3920000
採卵養鶏場大手、北海道でシェア５割。雛からの一貫生産や直接販売に特徴、本州開拓を強化へ,【単独事業】鶏卵97、食品3、他0(2024.3),248,---,45.7,4580000
マンション室内コーティングが主力。ビル管理や不動産事業も展開。２３年１２月３０日上場廃止に,ハウスケア22(12)、ビル総合管理75(4)、総合不動産1(5)、他2(87)(2022.12),3,66,42.9,5080000
独自研磨法と特殊コーティング剤での外装リフォーム会社。直接施工と並行し契約工務店拡大,【単独事業】ホームメイキャップ92(18)、建築工事8(14)、他1(7)(2024.5),86,---,35.1,4760000
愛知、静岡地盤のサーラグループ中核。高気密高断熱住宅に特徴。サーラコーポが完全子会社化,住宅53(2)、住宅部資材加工・販売47(1)(2015.10),244,460,41.0,5790000
産業用太陽光発電所の開発、建設、保守を展開。既存設備再生は縮小、タイで自家発電所新設も,再生可能エネルギー83(20)、省エネルギー3(24)、電力10(32)、メンテナンス4(32)、他0(100)(2024.8),29,369,45.1,6650000
戸建てや商業用地を対象にした地盤調査改良工事を展開。ＩＴｂｏｏｋと１８年１０月に経営統合,地盤改良95(1)、保証2(26)、地盤システム2(14)、海外0(-107)、他0(-31)(2017.12),19,397,40.8,6850000
---,---,0,420,37.7,---
注文住宅「桧家住宅」が中核。省エネ性能に強み。ヤマダＨＤの完全子会社化で４月２５日上場廃止,住宅74(7)、不動産投資3(9)、断熱材18(6)、リフォーム2(7)、介護保育2(-2)、他0(-22)(2021.12),156,2395,36.4,4670000
橋梁、道路などインフラ補修工事の専業。補修材料の開発・販売から施工まで一貫体制。好財務,国内建設95(23)、他5(13)(2024.6),741,1008,41.9,10720000
通信工事大手。ＮＴＴ向け主体。２２年に大手ゼネコンの西武建設を買収。非通信領域を強化中,環境・社会イノベーション28、ＩＣＴソリューション28、ＮＴＴ35、マルチキャリア10(2024.3),3692,17541,43.8,6980000
遊技場・店舗内装工事中心に音響システム・照明設備や学校・公共施設工事拡充。関西圏拡充,内装工事50(2)、音響・照明設備35(6)、設備・メンテナンス9(3)、材サービス5(1)(2024.2),96,250,---,---
ローコスト系の注文住宅会社。首都圏郊外や地方を中心に展開。分譲住宅やオフィス区分販売も,住宅75(4)、不動産22(6)、金融0(20)、エネルギー0(27)、他2(5)(2024.5),3196,3372,41.1,8410000
戸建て住宅、マンション、賃貸・福祉住宅の設計・販売が主。近畿中心に首都圏、中部等で展開,住宅45(-2)、マンション45(11)、他10(-1)(2024.3),337,770,44.8,5950000
住宅・建築物用のウレタン断熱材を生産・施工。ヤマダＨＤ傘下のヒノキヤグループの子会社,【単独事業】戸建49、建築物29、防水2、原料販売7、他14(2023.12),602,---,35.0,5090000
首都圏軸に分譲マンション建設。用地手当てから建築まで一貫の造注方式に強み。福岡にも進出,建設77(7)、不動産21(16)、他1(-228)(2024.5),159,175,43.1,7250000
熊本県、福岡県地盤の注文住宅メーカー。関東にも展開。ネット中心の販売から展示場も活用へ,戸建住宅100(2024.6),252,303,32.7,4840000
製鉄所や発電所、石油化学等のプラント解体工事マネジメント会社。複数の特許工法を有する,解体・メンテナンス97(16)、他3(37)(2024.1),110,207,41.4,6390000
電気・通信設備の独立系工事会社。設計・調達・施工管理（ＥＰＣ）一貫受注。ベトナムでも実績,国内ＥＰＣ76(8)、アセアンＥＰＣ9(-25)、不動産16(32)(2024.8),24,754,39.3,5630000
アパート建築のマッチングサイトで成長。１８年の不祥事を経て、ＩｏＴ活用の賃貸管理に軸足,ＡＩ・ＩｏＴ6(46)、Ｒｏｂｏｔ　Ｈｏｍｅ94(21)、他‥(2023.12),135,228,35.9,6200000
徳島県発祥。祖業の建築請負から投資家向け小規模太陽光発電所が主柱に。非ＦＩＴ型開発に力,産業と社会の脱炭素32(12)、住まいの脱炭素56(7)、アセット管理12(24)(2024.4),131,152,39.0,5220000
造園緑化専業で唯一の上場会社。設計・施工・メンテの一貫体制に強み。積水ハウスとの関係強化,ランドスケープ44、ガーデンエクステリア56(2024.9),129,152,42.1,5440000
愛知県で住宅リフォーム請負を軸に新築、仲介・買い取り再販も。サーラコーポがＴＯＢ実施,住宅リフォーム82(5)、新築住宅6(-8)、不動産流通12(9)(2023.12),155,222,38.9,5030000
法面工事、消波ブロック型枠貸与、放射線防護設備建築が柱。フリージア系企業群が過半保有,土木関連17(14)、建築関連54(13)、型枠貸与関連27(23)、他2(2)(2024.3),1,100,53.0,4790000
首都圏で賃貸住居・事務所の原状回復工事を中小不動産会社から受注する施工業者。中古再生も,原状回復45、リノベーション34、ハウスクリーニング・入居中メンテナンス2、不動産6、他12(2024.7),64,92,40.8,5980000
住宅や商業施設等の補修・点検会社。サカイ引越センターと資本業務提携。全国に技術者配置,リペアサービス33、住環境向け建築サービス29、商環境向け建築サービス32、商材販売5(2024.9),49,568,42.3,5590000
